世界,韓國的偶像粉絲為了表達對自己偶像的愛通常會送給他們什麼東西？,花,米,牛肉,千字文,B
世界,在日本稱的櫻花肉是什麼肉？,馬肉,鯨魚肉,鹿肉,黑鮪魚肉,A
世界,韓國的泡菜又稱為？,紅包菜,沉菜,石菜,漬菜,B
生活小知識,下列哪種咖啡在等重的情況下所含的咖啡因最少？,義式濃縮,美式咖啡,濃縮,耳掛式咖啡,C
世界,韓國文化中對道歉的對象會送給對方什麼？,鞭炮,帆船,蘋果,泡菜,C
休閒娛樂,一般釣客在淡水釣魚池都是用什麼樣材質的釣魚線？,PE,鋼絲線,布織線,尼龍,D
生活小知識,下列哪一種物品可以快速又方便的清理手上的奇異筆油漬？,鹽巴,爆米花,髮圈,洋芋片,C
食物,以下是以人命名的菜，哪一個與人名無關,左宗堂雞,東坡肉,太白鴨,曹操雞,A
世界,韓國汗蒸幕裡面沒有提供下列哪種食物？,紅豆冰,甜米釀,人蔘冰棒,烤蛋,C
世界,韓國人很愛豬五花甚至還訂了國定節日，請問是幾月幾號？,3/3,6/8,8/10,12/15,A
食物,世界上最貴的牛排可以到一份數十萬元，是因為擁有下列何種原因？,料理技術,冷凍技術,宰殺方式,油花分布,B
兒童,何者非《汪汪隊立大功》中汪汪隊的其中一員？,萊德,小礫,珠珠,路馬,C
運動,美國職籃歷史中某位球星曾單場連續罰球_____球落空,9,10,11,12,C
世界,韓國的冷面是用什麼製成的？,馬鈴薯,麵粉,米,麥,A
資訊,請問下列程式語言何者是以其簡潔易懂的語法著稱？,C++,Brainf*ck,Python,JavaScript,C
食物,有時候在煮湯時會不小心加了太多醋應該採取下列哪項挽救方式？,加薑,加鹽,加熱,老子錢多倒掉啦,C
世界,下列何者不是東協創始成員國？,菲律賓,越南,泰國,新加坡,B
食物,下列何者被日本人稱為時計果？,香瓜,水蜜桃,百香果,水梨,C
世界,巧克力最早是由哪一國人製作？,台灣,西班牙,墨西哥,美國,C
食物,下列何者不是製作三杯雞的材料？,米酒,糖,醬油,香菜,D
健康,什麼人不適合吃南瓜？,糖尿病患者,胃酸過多,懷孕初期,高血壓患者,B
健康,下列哪種方式可以停止打嗝？,大口吸氣吐氣,含一口砂糖盡量不要呼吸,讓別人從後面嚇你,抱徐凱宥,B
星座,下列哪一個星座不屬於水象星座,雙魚,天蠍,巨蟹,水瓶,D
生物,為什麼豬會在身上塗抹泥巴？,降溫,防蚊蟲叮咬,洗澡,他們剪刀石頭布輸家的懲罰,A
常識,為什麼店家在門口掛水瓶可以驅趕蒼蠅？,有動感光波發射,蒼蠅不喜歡水瓶的味道,光折射影響,看到水波紋蒼蠅暈車,C
語文,下列哪一位不屬於唐宋古文八大家？,范仲淹,韓愈,蘇軾,曾鞏,A
台灣,台灣本島面積最小的縣是？,新竹,雲林,彰化,發大財,C
常識,下列哪一種水果又稱“西紅柿”？,蓮霧,番茄,草莓,火龍果,B
語文,三姑六婆原本是指中國女性的什麼？,年齡,地位,稱謂,職業,D
常識,下列何者不是新竹名產？,柿餅,貢丸,水蜜桃,米粉,C
天文,下列都是太陽系中的行星，哪一個是4選項中最大的？,地球,火星,土星,火星,C
生物,鯊魚需要一直游泳，是因為如果停止游泳會？,無法沉在水中,憂鬱症,停止呼吸,不會怎麼樣,C
語文,請問三國志的作者為誰？,羅貫中,陳壽,班固,歐陽修,B
常識,911大地震為台灣史上最慘烈的地震，下列何者為其震央？,台南新營,台北大安,南投集集,高雄左營,C
歷史,清末中國受到八國聯軍的攻打，下列何者不包括在其八國內？,希臘,義大利,德國,法國,A
語文,請問史記的作者是誰？,司馬光,司馬中原,班固,司馬遷,D
天文,下列何者不是夏季大三角的其中之一？,牛郎星,參宿四,天津四,織女星,B
運動,LeBron James目前隸屬於那支球隊？,洛杉磯快艇,克里夫蘭騎士,邁阿密熱火,洛杉磯湖人,D
地理,日本沒有受到下列哪一板塊的擠壓,北美洲板塊,太平洋板塊,歐亞大陸板塊,印澳板塊,D
運動,鈴木一朗沒有待過下列哪一支球隊？,邁阿密馬林魚,紐約洋基,西雅圖水手,洛杉磯道奇,D
常識,為什麼核電廠要蓋在海邊,方便抓魚,方便丟棄廢料,方便使反應爐降溫,方便取得反應物,C
化學,週期表中原子序為21的是什麼元素？,Rb,Sc,Mn,Pt,B
世界,日本的首都在哪裡？,東京,京都,大阪,沒有首都,D
常識,太鼓最初的用途是？,鄰居間互相提醒的溝通工具,表演,廟會,裝飾,A
世界,美國的首都在哪裡？,洛杉磯,紐約,華盛頓,芝加哥,C
歷史,在古代儒家和墨家並稱為何？,顯學,新儒學,考據學,心理學,A
世界,試問印度矽谷為何？,孟買,乞拉朋吉,邦加羅爾,新德里,C
小說,黯然消魂拳是誰發明的？,楊過,小龍女,郭靖,黃蓉,A
自然,使用刀子切物是何種力的作用,弱力,強力,萬有引力,電磁力,D
歷史,請問台灣在史上並未遭到哪個國家殖民？,荷蘭,清廷,美國,西班牙,C
物理,下列何者不是光的三原色？,紅,黃,綠,藍,B
世界,巴西的首都在哪裡？,里約熱內盧,聖保羅,薩爾瓦多,巴西利亞,D
歷史,歷史上著名的「三國」干涉還遼，何者非三國之一？,俄國,南韓,德國,法國,B
數學,何種函數圖形必過（1、0）？,一次函數,二次函數,指數函數,對數函數,D
動漫,下列哪個不是工藤優作的兒子使用過的名字？,工藤新一,江戶川柯南,平井•亞瑟,伏特加,D
運動,下列誰不是羽球選手？,薛儒修,戴資穎,周天成,瑪琳,A
世界,土耳其的首都在哪裡？,安卡拉,伊斯坦堡,安塔利亞,伊茲米爾,A
常識,明道中學的校長畢業於那個大學那個科系？,成大物理,成大電機,台大物理,台大電機,A
自然,諾貝爾物理獎「光鑷」是利用光的什麼性質,波動性,粒子性,以上皆是,以上皆非,C
常識,最短的中文歌曲是那首歌？,貝貝,給我一首歌的時間,逆光,戒菸,A
世界,加拿大的首都在哪裡？,多倫多,溫哥華,蒙特婁,渥太華,D
自然,為什麼我們看得到物體,物體自行發光,物體反射、折射光線進我們眼睛,視覺神經偵測到紅外線,視覺神經偵測到紫外線,B
英文,世界上最長的英文單字是什麼的一種？,蛋白質,細菌,疾病,人名,C
世界,澳洲的首都在哪裡？,雪梨,坎培拉,墨爾本,布里斯班,B
化學,當被強酸潑到時如何處理最適合,以強鹼中和,以強酸清理傷口,以大量清水沖洗傷處,以弱鹼中和,C
世界,緬甸的首都在哪裡？,仰光,奈比多,曼德勒,蒲甘,B
物理,下列何種介質傳遞波動最快,氮氣,溴水,硫酸銅水溶液,鉛板,D
世界,印度的首都在哪裡？,加爾各答,孟買,金奈,新德里,D
世界,世界上雨量最多的地方在哪一座城市?,倫敦,乞拉朋吉,奧克蘭,海參崴,B
世界,瑞士的首都在哪裡？,伯恩,日內瓦,蘇黎世,達弗斯,A
歷史,張飛嚇斷長坂坡時落馬而死的將軍是誰?,夏侯霸,夏侯淵,夏侯傑,夏侯惇,C
生物,那種血管血壓最大,微血管,大動脈,肺靜脈,以上皆同,B
生物,哪種養分在人體最快被分解,澱粉,蛋白質,脂質,睪固酮,A
天文,下列哪一個不是恆星死亡後的殘骸,黑洞,白矮星,中子星,矮行星,D
世界,越南的首都在哪裡？,惠安,胡志明市,河內,潘切,C
世界,寮國的首都在哪裡？,金邊,永珍,瑯勃拉邦,沒有首都,B
物理,地球吸引你的反作用力是那個力？,地心引力,你吸引地球的力,摩擦力,正向力,B
